Name;Type(s);Height;Weight;Abilities;Sprite Link;Official Art Link;Total Base Stats;Habitat;Color;Is Legendary;Is Mythical;HP;Attack;Defense;Special Attack;Special Defense;Speed;No Damage From;Quarter Damage From;Half Damage From;Normal Damage From;Double Damage From;Quadruple Damage From;Previous Evolution;Upcoming Evolution
bulbasaur;grass,poison;0.7 m;6.9 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png;318;grassland;green;false;false;45;49;49;65;65;45;None;grass;water,electric,fighting,fairy;normal,rock,ghost,steel,dragon,dark;flying,fire,ice,psychic;None;None;ivysaur
ivysaur;grass,poison;1 m;13 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png;405;grassland;green;false;false;60;62;63;80;80;60;None;grass;water,electric,fighting,fairy;normal,rock,ghost,steel,dragon,dark;flying,fire,ice,psychic;None;bulbasaur;venusaur
venusaur;grass,poison;2 m;100 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png;525;grassland;green;false;false;80;82;83;100;100;80;None;grass;water,electric,fighting,fairy;normal,rock,ghost,steel,dragon,dark;flying,fire,ice,psychic;None;ivysaur;None
charmander;fire;0.6 m;8.5 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png;309;mountain;red;false;false;39;52;43;60;50;65;None;None;bug,steel,fire,grass,ice,fairy;normal,fighting,flying,poison,ghost,electric,psychic,dragon,dark;ground,rock,water;None;None;charmeleon
charmeleon;fire;1.1 m;19 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png;405;mountain;red;false;false;58;64;58;80;65;80;None;None;bug,steel,fire,grass,ice,fairy;normal,fighting,flying,poison,ghost,electric,psychic,dragon,dark;ground,rock,water;None;charmander;charizard
charizard;fire,flying;1.7 m;90.5 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png;534;mountain;red;false;false;78;84;78;109;85;100;ground;bug,grass;steel,fire,fairy,fighting;normal,flying,poison,ghost,psychic,dragon,dark;water,electric;rock;charmeleon;None
squirtle;water;0.5 m;9 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png;314;waters-edge;blue;false;false;44;48;65;50;64;43;None;None;steel,fire,water,ice;normal,fighting,flying,poison,ground,rock,bug,ghost,psychic,dragon,dark,fairy;grass,electric;None;None;wartortle
wartortle;water;1 m;22.5 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png;405;waters-edge;blue;false;false;59;63;80;65;80;58;None;None;steel,fire,water,ice;normal,fighting,flying,poison,ground,rock,bug,ghost,psychic,dragon,dark,fairy;grass,electric;None;squirtle;blastoise
blastoise;water;1.6 m;85.5 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png;530;waters-edge;blue;false;false;79;83;100;85;105;78;None;None;steel,fire,water,ice;normal,fighting,flying,poison,ground,rock,bug,ghost,psychic,dragon,dark,fairy;grass,electric;None;wartortle;None
caterpie;bug;0.3 m;2.9 kg;shield-dust or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png;195;forest;green;false;false;45;30;35;20;20;45;None;None;fighting,ground,grass;normal,poison,bug,ghost,steel,water,electric,psychic,ice,dragon,dark,fairy;flying,rock,fire;None;None;metapod
